,r_fighter,b_fighter,r_odds,b_odds,date_x,location,country,winner_x,title_bout,weight_class,gender,winner_resolved,location_resolved,r_reach,r_height,b_reach,b_height,win_type,last_round,match_type,match_length,referee,date_y,winner_y,reach_win,height_win
18,joseph benavidez,deiveson figueiredo,-150,130,2020-02-29,"Norfolk, Virginia, USA", usa,Blue,TRUE,Flyweight,male,,"norfolk, virginia",65,5'4,68,5'5,ko/tko,2,5 rnd (5-5-5-5-5),00:06:54,keith peterson,2020-02-29,deiveson figueiredo,True,True
19,felicia spencer,zarah fairn,-870,585,2020-02-29,"Norfolk, Virginia, USA", usa,Red,FALSE,Women's Featherweight,female,,"norfolk, virginia",68,5'6,72,5'8,ko/tko,1,3 rnd (5-5-5),00:03:37,keith peterson,2020-02-29,felicia spencer,False,False
20,ion cutelaba,magomed ankalaev,185,-225,2020-02-29,"Norfolk, Virginia, USA", usa,Blue,FALSE,Light Heavyweight,male,,"norfolk, virginia",75,6'1,75,6'3,ko/tko,1,3 rnd (5-5-5),00:00:38,keith peterson,2020-02-29,magomed ankalaev,False,True
21,megan anderson,norma dumont,-245,205,2020-02-29,"Norfolk, Virginia, USA", usa,Red,FALSE,Women's Featherweight,female,,"norfolk, virginia",72,6'0,67,5'7,ko/tko,1,3 rnd (5-5-5),00:03:31,keith peterson,2020-02-29,megan anderson,True,True
22,grant dawson,darrick minner,-475,380,2020-02-29,"Norfolk, Virginia, USA", usa,Red,FALSE,Featherweight,male,,"norfolk, virginia",72,5'10,69,5'7,submission,2,3 rnd (5-5-5),00:06:38,keith peterson,2020-02-29,grant dawson,True,True
23,gabriel silva,kyler phillips,-130,110,2020-02-29,"Norfolk, Virginia, USA", usa,Blue,FALSE,Bantamweight,male,,"norfolk, virginia",71,5'6,72,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-02-29,kyler phillips,True,True
24,brendan allen,tom breese,110,-130,2020-02-29,"Norfolk, Virginia, USA", usa,Red,FALSE,Middleweight,male,,"norfolk, virginia",75,6'2,73,6'3,ko/tko,1,3 rnd (5-5-5),00:04:47,keith peterson,2020-02-29,brendan allen,True,False
25,luis pena,steve garcia,-270,230,2020-02-29,"Norfolk, Virginia, USA", usa,Red,FALSE,Lightweight,male,,"norfolk, virginia",75,6'3,75,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-02-29,luis pena,True,True
26,marcin tybura,serghei spivac,100,-120,2020-02-29,"Norfolk, Virginia, USA", usa,Red,FALSE,Heavyweight,male,,"norfolk, virginia",78,6'3,78,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-02-29,marcin tybura,True,True
27,jordan griffin,tj brown,-135,115,2020-02-29,"Norfolk, Virginia, USA", usa,Red,FALSE,Featherweight,male,,"norfolk, virginia",73,5'10,72,5'9,submission,2,3 rnd (5-5-5),00:08:38,keith peterson,2020-02-29,jordan griffin,True,True
28,aalon cruz,spike carlyle,-190,165,2020-02-29,"Norfolk, Virginia, USA", usa,Blue,FALSE,Featherweight,male,,"norfolk, virginia",78,6'0,71,5'8,ko/tko,1,3 rnd (5-5-5),00:01:25,keith peterson,2020-02-29,spike carlyle,False,False
29,sean brady,ismail naurdiev,105,-125,2020-02-29,"Norfolk, Virginia, USA", usa,Red,FALSE,Welterweight,male,,"norfolk, virginia",72,5'10,74,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-02-29,sean brady,False,True
30,paul felder,dan hooker,130,-150,2020-02-22,"Auckland, New Zealand", new zealand,Blue,FALSE,Lightweight,male,,auckland,70,5'11,75,6'0,decision - split,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2020-02-22,dan hooker,True,False
31,karolina kowalkiewicz,yan xiaonan,225,-265,2020-02-22,"Auckland, New Zealand", new zealand,Blue,FALSE,Women's Strawweight,female,,auckland,64,5'3,63,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-02-22,yan xiaonan,False,True
32,ben sosoli,marcos rogerio de lima,130,-150,2020-02-22,"Auckland, New Zealand", new zealand,Blue,FALSE,Heavyweight,male,,auckland,72,6'0,75,6'1,ko/tko,1,3 rnd (5-5-5),00:01:28,keith peterson,2020-02-22,marcos rogerio de lima,True,True
33,brad riddell,magomed mustafaev,120,-140,2020-02-22,"Auckland, New Zealand", new zealand,Red,FALSE,Lightweight,male,,auckland,71,5'7,71,5'8,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-02-22,brad riddell,True,False
