"index","r_odds","b_odds","weight_class"
197,-155,135,"Women's Bantamweight"
198,-190,165,"Lightweight"
199,-390,320,"Welterweight"
200,-130,110,"Welterweight"
201,-125,105,"Middleweight"
202,-190,165,"Lightweight"
203,160,-185,"Lightweight"
204,-115,-105,"Light Heavyweight"
205,-460,365,"Welterweight"
206,230,-270,"Middleweight"
207,-105,-115,"Light Heavyweight"
208,105,-125,"Heavyweight"
209,115,-135,"Bantamweight"
210,-130,110,"Bantamweight"
211,145,-160,"Featherweight"
212,-230,190,"Bantamweight"
213,120,-140,"Lightweight"
214,135,-155,"Flyweight"
215,125,-145,"Women's Strawweight"
216,-525,415,"Women's Bantamweight"
217,-145,125,"Featherweight"
218,-150,130,"Bantamweight"
219,-105,-115,"Featherweight"
220,-115,-105,"Women's Strawweight"
221,-300,250,"Flyweight"
222,100,-120,"Light Heavyweight"
223,-290,245,"Women's Bantamweight"
224,-400,325,"Lightweight"
225,-275,235,"Middleweight"
226,-600,450,"Lightweight"
227,-105,-115,"Welterweight"
228,-105,-115,"Light Heavyweight"
229,-290,245,"Light Heavyweight"
230,135,-155,"Welterweight"
231,-130,110,"Middleweight"
232,145,-165,"Middleweight"
233,190,-230,"Welterweight"
234,-155,135,"Featherweight"
235,-430,345,"Women's Bantamweight"
236,-165,145,"Lightweight"
237,-235,195,"Bantamweight"
238,110,-130,"Middleweight"
239,115,-135,"Lightweight"
240,-330,270,"Heavyweight"
241,120,-140,"Welterweight"
242,-105,-115,"Heavyweight"
243,-470,375,"Welterweight"
244,325,-400,"Welterweight"
245,-165,145,"Lightweight"
246,-420,335,"Women's Featherweight"
247,155,-175,"Women's Flyweight"
248,-220,180,"Bantamweight"
249,-280,240,"Heavyweight"
250,-225,185,"Welterweight"
251,210,-250,"Flyweight"
252,180,-220,"Women's Strawweight"
253,-135,115,"Light Heavyweight"
254,-370,310,"Middleweight"
255,-235,195,"Featherweight"
256,150,-170,"Women's Flyweight"
257,-700,500,"Bantamweight"
258,-125,105,"Women's Bantamweight"
259,-130,110,"Bantamweight"
260,100,-120,"Featherweight"
261,-300,250,"Women's Strawweight"
262,155,-175,"Featherweight"
263,-145,125,"Welterweight"
264,-185,160,"Women's Strawweight"
265,130,-150,"Lightweight"
266,-140,120,"Middleweight"
267,-175,155,"Light Heavyweight"
268,-290,245,"Lightweight"
269,-145,125,"Welterweight"
270,-175,155,"Flyweight"
271,-140,120,"Bantamweight"
272,-250,210,"Welterweight"
273,-370,310,"Middleweight"
274,-150,130,"Women's Flyweight"
275,-140,120,"Featherweight"
276,-200,170,"Light Heavyweight"
277,170,-200,"Lightweight"
278,-170,150,"Women's Flyweight"
279,-115,-105,"Middleweight"
280,160,-185,"Featherweight"
281,-640,470,"Women's Flyweight"
282,-115,-105,"Featherweight"
283,130,-150,"Bantamweight"
284,150,-170,"Welterweight"
285,135,-155,"Middleweight"
286,125,-145,"Heavyweight"
287,140,-160,"Welterweight"
288,-275,235,"Lightweight"
289,160,-185,"Lightweight"
290,-325,265,"Heavyweight"
291,-165,145,"Welterweight"
292,-150,130,"Women's Strawweight"
293,165,-190,"Lightweight"
294,170,-200,"Featherweight"
295,200,-240,"Heavyweight"
296,-135,115,"Women's Strawweight"
297,205,-245,"Heavyweight"
298,-305,275,"Welterweight"
299,-125,105,"Women's Bantamweight"
300,110,-120,"Heavyweight"
301,200,-220,"Lightweight"
302,655,-830,"Women's Flyweight"
303,125,-135,"Featherweight"
304,290,-320,"Lightweight"
305,-115,105,"Light Heavyweight"
306,130,-140,"Flyweight"
307,125,-135,"Bantamweight"
