"index","r_odds","b_odds","weight_class"
863,-145,125,"Women's Flyweight"
864,-380,315,"Lightweight"
865,-130,110,"Lightweight"
866,120,-140,"Featherweight"
867,-125,105,"Featherweight"
868,180,-220,"Middleweight"
869,215,-255,"Welterweight"
870,125,-145,"Light Heavyweight"
871,-165,145,"Women's Flyweight"
872,-245,205,"Welterweight"
873,450,-600,"Bantamweight"
874,-105,-115,"Bantamweight"
875,145,-165,"Featherweight"
876,-290,245,"Welterweight"
877,450,-600,"Welterweight"
878,-165,145,"Women's Strawweight"
879,165,-190,"Flyweight"
880,200,-240,"Flyweight"
881,-170,150,"Women's Flyweight"
882,-275,235,"Middleweight"
883,115,-135,"Welterweight"
884,-145,125,"Women's Featherweight"
885,190,-230,"Heavyweight"
886,165,-190,"Welterweight"
887,170,-200,"Heavyweight"
888,-270,230,"Women's Strawweight"
889,205,-245,"Featherweight"
890,-115,-105,"Heavyweight"
891,188,-205,"Light Heavyweight"
892,-200,170,"Flyweight"
893,120,-140,"Lightweight"
894,-110,-110,"Featherweight"
895,-120,100,"Bantamweight"
896,-400,325,"Lightweight"
897,-220,180,"Heavyweight"
898,-160,140,"Welterweight"
899,-185,160,"Featherweight"
900,135,-155,"Light Heavyweight"
901,-210,175,"Women's Flyweight"
902,250,-300,"Lightweight"
903,-450,360,"Welterweight"
904,-1200,600,"Lightweight"
905,205,-245,"Bantamweight"
906,125,-145,"Flyweight"
907,-150,130,"Welterweight"
908,-750,525,"Welterweight"
909,-245,205,"Featherweight"
910,-170,150,"Featherweight"
911,325,-400,"Welterweight"
912,-160,140,"Middleweight"
913,315,-380,"Middleweight"
914,140,-160,"Women's Bantamweight"
915,120,-140,"Welterweight"
916,135,-155,"Women's Flyweight"
917,-390,320,"Middleweight"
918,415,-525,"Welterweight"
919,425,-550,"Women's Strawweight"
920,180,-220,"Light Heavyweight"
921,-175,155,"Bantamweight"
922,280,-340,"Women's Flyweight"
923,-235,195,"Welterweight"
924,-190,165,"Welterweight"
925,-110,-110,"Flyweight"
926,-174,164,"Women's Strawweight"
927,-155,145,"Featherweight"
928,-235,195,"Featherweight"
929,280,-340,"Bantamweight"
930,265,-325,"Lightweight"
931,-700,500,"Women's Bantamweight"
932,-115,-105,"Middleweight"
933,-260,220,"Women's Strawweight"
934,-265,225,"Bantamweight"
935,165,-190,"Middleweight"
936,-150,130,"Middleweight"
937,135,-145,"Heavyweight"
938,-185,160,"Lightweight"
939,100,-120,"Welterweight"
940,-280,240,"Welterweight"
941,110,-130,"Middleweight"
942,150,-170,"Welterweight"
943,-300,250,"Middleweight"
944,145,-165,"Lightweight"
945,-275,235,"Featherweight"
946,-290,245,"Heavyweight"
947,140,-160,"Middleweight"
948,-115,-105,"Bantamweight"
949,250,-300,"Lightweight"
950,-150,130,"Welterweight"
951,-110,-110,"Bantamweight"
952,150,-170,"Welterweight"
953,-165,145,"Light Heavyweight"
954,-200,170,"Welterweight"
955,-125,105,"Lightweight"
956,155,-175,"Welterweight"
957,-245,205,"Middleweight"
958,145,-165,"Women's Strawweight"
959,220,-260,"Middleweight"
960,-210,175,"Welterweight"
961,-120,100,"Flyweight"
962,-130,110,"Middleweight"
963,-640,470,"Lightweight"
964,140,-160,"Women's Flyweight"
965,105,-125,"Welterweight"
966,-325,265,"Heavyweight"
967,-110,-110,"Bantamweight"
968,-430,345,"Bantamweight"
969,-640,470,"Lightweight"
970,-110,-110,"Women's Strawweight"
971,-115,-105,"Featherweight"
972,-700,500,"Featherweight"
973,-145,125,"Lightweight"
974,-190,165,"Women's Strawweight"
975,-140,120,"Lightweight"
976,170,-200,"Women's Flyweight"
977,-105,-115,"Light Heavyweight"
978,-210,175,"Heavyweight"
979,-150,130,"Light Heavyweight"
980,-430,345,"Bantamweight"
981,-190,165,"Welterweight"
982,-115,-105,"Middleweight"
983,-130,110,"Welterweight"
984,240,-260,"Featherweight"
985,550,-800,"Light Heavyweight"
986,-210,175,"Lightweight"
987,220,-260,"Heavyweight"
988,-1000,650,"Women's Featherweight"
989,-155,135,"Featherweight"
990,-145,125,"Bantamweight"
991,-185,160,"Heavyweight"
992,175,-210,"Women's Bantamweight"
993,390,-490,"Women's Strawweight"
994,-420,335,"Lightweight"
995,-160,140,"Bantamweight"
996,-110,-110,"Middleweight"
997,270,-330,"Welterweight"
998,-105,-115,"Bantamweight"
999,-255,215,"Light Heavyweight"
1000,110,-130,"Featherweight"
1001,-250,210,"Women's Strawweight"
1002,-165,145,"Light Heavyweight"
1003,-300,250,"Welterweight"
1004,-165,145,"Bantamweight"
1005,-190,165,"Women's Bantamweight"
1006,130,-150,"Women's Strawweight"
1007,210,-250,"Welterweight"
1008,180,-220,"Light Heavyweight"
1009,-220,180,"Bantamweight"
1010,-140,120,"Flyweight"
1011,155,-175,"Bantamweight"
1012,100,-120,"Welterweight"
1013,-110,-110,"Heavyweight"
1014,-210,175,"Lightweight"
1015,-150,130,"Welterweight"
1016,130,-150,"Featherweight"
1017,-375,313,"Lightweight"
1018,-175,155,"Lightweight"
1019,-210,175,"Welterweight"
1020,135,-145,"Flyweight"
1021,130,-150,"Women's Bantamweight"
1022,300,-360,"Welterweight"
1023,-340,280,"Middleweight"
1024,160,-185,"Middleweight"
1025,165,-190,"Heavyweight"
1026,-275,235,"Heavyweight"
1027,125,-145,"Welterweight"
1028,-300,250,"Light Heavyweight"
1029,115,-135,"Lightweight"
1030,305,-365,"Middleweight"
1031,-200,170,"Featherweight"
1032,-110,-110,"Flyweight"
1033,-160,140,"Lightweight"
1034,135,-155,"Bantamweight"
1035,140,-160,"Welterweight"
1036,205,-245,"Middleweight"
1037,-1100,700,"Women's Flyweight"
1038,-120,100,"Lightweight"
1039,150,-170,"Heavyweight"
1040,165,-190,"Bantamweight"
1041,-255,215,"Middleweight"
1042,173,-205,"Welterweight"
1043,-240,200,"Lightweight"
1044,350,-440,"Women's Strawweight"
1045,-120,100,"Bantamweight"
1046,110,-130,"Flyweight"
1047,120,-140,"Middleweight"
1048,-150,130,"Featherweight"
1049,425,-550,"Lightweight"
1050,-140,120,"Welterweight"
1051,155,-175,"Lightweight"
1052,-550,425,"Featherweight"
1053,-190,165,"Women's Flyweight"
1054,-155,135,"Women's Strawweight"
1055,-160,140,"Women's Flyweight"
1056,110,-130,"Lightweight"
1057,-365,305,"Welterweight"
1058,170,-200,"Featherweight"
1059,150,-170,"Heavyweight"
1060,-345,285,"Light Heavyweight"
1061,190,-230,"Featherweight"
1062,-155,135,"Light Heavyweight"
1063,-145,125,"Bantamweight"
1064,120,-140,"Featherweight"
1065,168,-195,"Welterweight"
1066,-135,115,"Flyweight"
1067,120,-140,"Featherweight"
1068,245,-290,"Featherweight"
1069,-290,245,"Lightweight"
1070,145,-165,"Featherweight"
1071,-120,100,"Women's Flyweight"
1072,-750,525,"Welterweight"
1073,175,-210,"Featherweight"
1074,-180,158,"Lightweight"
1075,-200,185,"Lightweight"
1076,115,-135,"Women's Bantamweight"
1077,-290,245,"Bantamweight"
1078,115,-135,"Women's Flyweight"
1079,110,-130,"Women's Strawweight"
1080,165,-190,"Featherweight"
1081,-325,265,"Women's Featherweight"
1082,-410,330,"Lightweight"
1083,165,-190,"Lightweight"
1084,-220,180,"Women's Strawweight"
1085,-130,110,"Welterweight"
1086,-360,300,"Light Heavyweight"
1087,-175,155,"Featherweight"
1088,-270,230,"Middleweight"
1089,170,-200,"Flyweight"
1090,-190,165,"Bantamweight"
1091,105,-125,"Welterweight"
1092,-290,245,"Featherweight"
1093,-155,135,"Welterweight"
1094,125,-145,"Light Heavyweight"
1095,-190,165,"Light Heavyweight"
1096,-340,280,"Middleweight"
1097,-145,125,"Welterweight"
1098,-155,135,"Welterweight"
1099,125,-145,"Lightweight"
1100,-160,140,"Middleweight"
1101,-160,140,"Welterweight"
1102,100,-120,"Featherweight"
1103,-330,270,"Featherweight"
1104,-145,135,"Bantamweight"
1105,-145,125,"Lightweight"
1106,-470,375,"Middleweight"
1107,105,-125,"Bantamweight"
1108,105,-125,"Women's Flyweight"
1109,-345,285,"Bantamweight"
1110,335,-420,"Bantamweight"
1111,165,-190,"Bantamweight"
1112,155,-175,"Bantamweight"
1113,325,-400,"Lightweight"
1114,230,-270,"Middleweight"
1115,-260,220,"Featherweight"
1116,210,-230,"Heavyweight"
1117,-320,260,"Flyweight"
1118,150,-170,"Lightweight"
1119,-250,210,"Women's Strawweight"
1120,-135,115,"Lightweight"
1121,-390,320,"Welterweight"
1122,-130,110,"Lightweight"
1123,-115,-105,"Women's Strawweight"
1124,-525,415,"Women's Strawweight"
1125,225,-265,"Welterweight"
1126,415,-525,"Light Heavyweight"
1127,-230,190,"Heavyweight"
1128,-210,175,"Women's Flyweight"
1129,-230,190,"Bantamweight"
1130,-240,200,"Women's Flyweight"
1131,150,-170,"Middleweight"
1132,-550,425,"Women's Flyweight"
1133,145,-165,"Bantamweight"
1134,300,-360,"Women's Flyweight"
1135,-600,450,"Middleweight"
1136,375,-420,"Women's Flyweight"
1137,165,-190,"Women's Flyweight"
1138,165,-190,"Women's Flyweight"
1139,243,-285,"Middleweight"
1140,-200,170,"Welterweight"
1141,120,-140,"Featherweight"
1142,-220,180,"Welterweight"
1143,-500,400,"Featherweight"
1144,250,-300,"Welterweight"
1145,120,-140,"Women's Strawweight"
1146,-160,140,"Featherweight"
1147,105,-125,"Heavyweight"
1148,-130,120,"Women's Bantamweight"
1149,140,-150,"Featherweight"
1150,-250,210,"Heavyweight"
1151,-300,250,"Heavyweight"
1152,-130,110,"Women's Flyweight"
1153,-210,175,"Welterweight"
1154,-140,120,"Welterweight"
1155,-310,255,"Middleweight"
1156,-640,470,"Catch Weight"
1157,-290,245,"Flyweight"
1158,345,-430,"Lightweight"
1159,155,-175,"Heavyweight"
1160,105,-125,"Lightweight"
1161,170,-200,"Women's Strawweight"
1162,270,-330,"Flyweight"
1163,155,-175,"Heavyweight"
1164,-110,-110,"Lightweight"
1165,-350,290,"Welterweight"
1166,-320,260,"Heavyweight"
1167,225,-265,"Middleweight"
1168,-370,310,"Bantamweight"
1169,105,-125,"Lightweight"
1170,-125,105,"Bantamweight"
1171,-285,243,"Women's Strawweight"
1172,-190,165,"Lightweight"
1173,-170,150,"Women's Strawweight"
1174,245,-290,"Welterweight"
1175,215,-255,"Light Heavyweight"
1176,185,-255,"Middleweight"
1177,-120,100,"Middleweight"
1178,-210,175,"Bantamweight"
1179,-700,500,"Women's Strawweight"
1180,-190,165,"Welterweight"
1181,305,-365,"Middleweight"
1182,135,-155,"Lightweight"
1183,-370,310,"Heavyweight"
1184,-175,155,"Light Heavyweight"
1185,105,-125,"Welterweight"
1186,250,-300,"Heavyweight"
1187,165,-190,"Bantamweight"
1188,-145,135,"Middleweight"
1189,-120,100,"Welterweight"
1190,155,-175,"Bantamweight"
1191,-220,180,"Lightweight"
1192,-110,-110,"Middleweight"
1193,-485,385,"Bantamweight"
1194,-130,110,"Welterweight"
1195,-370,330,"Middleweight"
1196,135,-155,"Lightweight"
1197,-230,190,"Welterweight"
1198,125,-145,"Flyweight"
1199,-265,225,"Heavyweight"
1200,-150,130,"Welterweight"
1201,-600,450,"Women's Strawweight"
1202,130,-150,"Light Heavyweight"
1203,-220,180,"Middleweight"
1204,-355,295,"Lightweight"
1205,-115,-105,"Bantamweight"
1206,130,-150,"Middleweight"
1207,150,-170,"Featherweight"
1208,250,-300,"Welterweight"
1209,200,-240,"Women's Bantamweight"
1210,200,-240,"Featherweight"
1211,-290,245,"Lightweight"
1212,-1000,650,"Flyweight"
1213,-210,175,"Heavyweight"
1214,215,-255,"Women's Flyweight"
1215,-230,190,"Lightweight"
1216,-160,140,"Bantamweight"
1217,-175,155,"Lightweight"
1218,140,-160,"Women's Strawweight"
1219,-125,105,"Flyweight"
1220,425,-550,"Flyweight"
1221,155,-175,"Middleweight"
1222,-430,345,"Light Heavyweight"
1223,-290,245,"Women's Strawweight"
1224,290,-350,"Lightweight"
1225,-200,170,"Light Heavyweight"
1226,-155,135,"Featherweight"
1227,-420,335,"Flyweight"
1228,-110,-110,"Welterweight"
1229,-150,130,"Women's Strawweight"
1230,215,-255,"Welterweight"
1231,100,-120,"Welterweight"
1232,-500,400,"Middleweight"
1233,-420,335,"Welterweight"
1234,135,-155,"Middleweight"
1235,-420,335,"Lightweight"
1236,-1000,650,"Welterweight"
1237,-470,375,"Heavyweight"
1238,-115,-105,"Lightweight"
1239,-192,177,"Heavyweight"
1240,-200,170,"Middleweight"
1241,130,-150,"Lightweight"
1242,125,-145,"Women's Bantamweight"
1243,165,-190,"Welterweight"
1244,-400,325,"Flyweight"
1245,120,-140,"Light Heavyweight"
1246,-115,-105,"Featherweight"
1247,-200,170,"Women's Bantamweight"
1248,260,-320,"Women's Bantamweight"
1249,-370,310,"Featherweight"
1250,180,-220,"Lightweight"
1251,175,-210,"Heavyweight"
1252,450,-600,"Lightweight"
1253,-130,110,"Heavyweight"
1254,-130,110,"Middleweight"
1255,-320,260,"Women's Bantamweight"
1256,-250,210,"Welterweight"
1257,-190,165,"Welterweight"
1258,-525,450,"Lightweight"
1259,-390,320,"Lightweight"
1260,-250,210,"Lightweight"
1261,125,-145,"Light Heavyweight"
1262,325,-400,"Featherweight"
1263,485,-670,"Light Heavyweight"
1264,155,-175,"Lightweight"
1265,155,-175,"Flyweight"
1266,180,-220,"Women's Strawweight"
1267,-165,145,"Welterweight"
1268,-300,250,"Featherweight"
1269,-130,110,"Middleweight"
1270,-165,145,"Bantamweight"
1271,240,-280,"Middleweight"
1272,-175,155,"Flyweight"
1273,190,-230,"Bantamweight"
1274,-245,205,"Bantamweight"
1275,100,-120,"Flyweight"
1276,185,-225,"Lightweight"
1277,265,-325,"Light Heavyweight"
1278,-220,180,"Welterweight"
1279,-1250,800,"Women's Featherweight"
1280,-155,135,"Welterweight"
1281,-175,155,"Light Heavyweight"
1282,-105,-115,"Featherweight"
1283,110,-130,"Catch Weight"
1284,160,-185,"Featherweight"
1285,-175,155,"Featherweight"
1286,155,-175,"Women's Strawweight"
1287,125,-145,"Flyweight"
1288,255,-310,"Lightweight"
1289,135,-155,"Middleweight"
1290,-210,175,"Featherweight"
1291,175,-210,"Light Heavyweight"
1292,-185,160,"Bantamweight"
1293,-150,130,"Welterweight"
1294,-105,-115,"Middleweight"
1295,-175,155,"Welterweight"
1296,205,-245,"Heavyweight"
1297,245,-290,"Featherweight"
1298,-235,195,"Bantamweight"
1299,-280,240,"Heavyweight"
1300,-700,500,"Featherweight"
1301,300,-360,"Lightweight"
1302,-174,164,"Welterweight"
1303,180,-220,"Women's Strawweight"
1304,-185,160,"Lightweight"
1305,-500,400,"Middleweight"
1306,-145,125,"Light Heavyweight"
1307,130,-140,"Heavyweight"
1308,-190,165,"Welterweight"
1309,-350,290,"Flyweight"
1310,175,-210,"Welterweight"
1311,150,-170,"Lightweight"
1312,-350,290,"Bantamweight"
1313,-225,185,"Women's Bantamweight"
1314,110,-130,"Middleweight"
1315,120,-140,"Heavyweight"
1316,470,-640,"Heavyweight"
1317,-235,195,"Lightweight"
1318,-265,225,"Bantamweight"
1319,-290,245,"Heavyweight"
1320,-550,425,"Welterweight"
1321,-160,140,"Middleweight"
1322,115,-135,"Welterweight"
1323,-245,205,"Featherweight"
1324,-250,210,"Light Heavyweight"
1325,-165,145,"Lightweight"
1326,150,-170,"Welterweight"
1327,-350,290,"Light Heavyweight"
1328,-115,-105,"Middleweight"
1329,-190,165,"Light Heavyweight"
1330,-340,280,"Women's Strawweight"
1331,-550,425,"Welterweight"
1332,125,-145,"Light Heavyweight"
1333,-470,375,"Women's Strawweight"
1334,285,-345,"Featherweight"
1335,125,-145,"Lightweight"
1336,125,-145,"Middleweight"
1337,140,-160,"Women's Strawweight"
1338,-310,255,"Welterweight"
1339,115,-135,"Featherweight"
1340,290,-350,"Lightweight"
1341,315,-380,"Middleweight"
1342,360,-450,"Lightweight"
1343,-135,115,"Featherweight"
1344,-125,105,"Lightweight"
1345,-160,140,"Light Heavyweight"
1346,-570,435,"Women's Bantamweight"
1347,190,-230,"Heavyweight"
1348,200,-240,"Welterweight"
1349,170,-200,"Welterweight"
1350,325,-360,"Lightweight"
1351,300,-360,"Heavyweight"
1352,-320,260,"Featherweight"
1353,-525,415,"Flyweight"
1354,-120,100,"Bantamweight"
1355,-275,235,"Flyweight"
1356,100,-120,"Women's Bantamweight"
1357,-150,130,"Heavyweight"
1358,-250,210,"Middleweight"
1359,-145,125,"Lightweight"
1360,-305,275,"Light Heavyweight"
1361,-170,160,"Flyweight"
1362,-580,440,"Featherweight"
1363,105,-125,"Lightweight"
1364,175,-210,"Welterweight"
1365,-210,175,"Flyweight"
1366,310,-370,"Welterweight"
1367,-200,170,"Women's Strawweight"
1368,-145,125,"Featherweight"
1369,-280,240,"Women's Strawweight"
1370,-180,158,"Middleweight"
1371,-265,225,"Middleweight"
1372,120,-140,"Welterweight"
1373,220,-260,"Bantamweight"
1374,-110,-110,"Bantamweight"
1375,-380,315,"Bantamweight"
1376,-180,158,"Women's Strawweight"
1377,-260,220,"Welterweight"
1378,-300,250,"Light Heavyweight"
1379,375,-470,"Light Heavyweight"
1380,-135,115,"Welterweight"
1381,-275,235,"Welterweight"
1382,275,-335,"Welterweight"
1383,-165,145,"Middleweight"
1384,-670,485,"Bantamweight"
1385,130,-150,"Middleweight"
1386,135,-155,"Lightweight"
1387,-130,110,"Welterweight"
1388,-275,235,"Welterweight"
1389,-290,245,"Lightweight"
1390,-165,145,"Heavyweight"
1391,-190,165,"Women's Strawweight"
1392,-115,-105,"Welterweight"
1393,-140,120,"Featherweight"
1394,-170,150,"Middleweight"
1395,110,-130,"Lightweight"
1396,-110,-110,"Featherweight"
1397,-110,-110,"Heavyweight"
1398,-355,320,"Lightweight"
1399,140,-160,"Women's Strawweight"
1400,-135,115,"Featherweight"
1401,315,-380,"Light Heavyweight"
1402,-600,450,"Featherweight"
1403,-420,335,"Lightweight"
1404,-160,140,"Light Heavyweight"
1405,-400,325,"Bantamweight"
1406,145,-165,"Lightweight"
1407,105,-125,"Welterweight"
1408,-125,105,"Middleweight"
1409,-120,100,"Flyweight"
1410,-280,240,"Lightweight"
1411,-110,-110,"Women's Strawweight"
1412,-290,245,"Women's Bantamweight"
1413,-330,270,"Welterweight"
1414,130,-150,"Flyweight"
1415,-1100,700,"Flyweight"
1416,110,-130,"Women's Strawweight"
1417,-265,225,"Middleweight"
1418,-170,150,"Featherweight"
1419,-155,135,"Heavyweight"
1420,650,-1000,"Bantamweight"
1421,270,-330,"Lightweight"
1422,160,-185,"Flyweight"
1423,-400,325,"Bantamweight"
1424,-140,120,"Light Heavyweight"
1425,270,-330,"Middleweight"
1426,-550,425,"Welterweight"
1427,-165,145,"Women's Bantamweight"
1428,120,-140,"Light Heavyweight"
1429,-105,-115,"Middleweight"
1430,-280,240,"Women's Strawweight"
1431,110,-130,"Welterweight"
1432,-220,180,"Lightweight"
1433,-450,360,"Featherweight"
1434,-290,245,"Welterweight"
1435,-255,215,"Featherweight"
1436,-105,-115,"Light Heavyweight"
1437,-290,245,"Lightweight"
1438,-200,170,"Lightweight"
1439,-135,115,"Women's Bantamweight"
1440,470,-640,"Flyweight"
1441,-145,125,"Light Heavyweight"
1442,-335,275,"Welterweight"
1443,-150,130,"Catch Weight"
1444,-115,-105,"Featherweight"
1445,-550,425,"Lightweight"
1446,-210,175,"Light Heavyweight"
1447,170,-200,"Heavyweight"
1448,100,-120,"Welterweight"
1449,-175,155,"Lightweight"
1450,135,-155,"Middleweight"
1451,-400,325,"Women's Bantamweight"
1452,285,-345,"Middleweight"
1453,-155,135,"Light Heavyweight"
1454,-160,140,"Lightweight"
1455,110,-130,"Flyweight"
1456,-110,-110,"Women's Bantamweight"
1457,175,-210,"Welterweight"
1458,150,-170,"Lightweight"
1459,-200,170,"Welterweight"
1460,-240,200,"Bantamweight"
1461,-300,250,"Lightweight"
1462,105,-125,"Featherweight"
1463,280,-340,"Middleweight"
1464,120,-140,"Welterweight"
1465,-360,300,"Lightweight"
1466,-245,205,"Middleweight"
1467,150,-170,"Women's Strawweight"
1468,-130,110,"Heavyweight"
1469,-175,155,"Heavyweight"
1470,-750,525,"Featherweight"
1471,130,-150,"Bantamweight"
1472,-145,125,"Heavyweight"
1473,-140,120,"Light Heavyweight"
1474,-150,130,"Bantamweight"
1475,-105,-115,"Heavyweight"
1476,110,-130,"Middleweight"
1477,130,-160,"Featherweight"
1478,-105,-115,"Middleweight"
1479,-800,550,"Women's Bantamweight"
1480,-370,310,"Lightweight"
1481,265,-325,"Welterweight"
1482,-260,200,"Women's Strawweight"
1483,-275,235,"Bantamweight"
1484,145,-165,"Middleweight"
1485,-300,250,"Middleweight"
1486,100,-130,"Women's Featherweight"
1487,100,-120,"Middleweight"
1488,-600,450,"Middleweight"
1489,-230,190,"Light Heavyweight"
1490,-450,360,"Lightweight"
1491,-145,115,"Welterweight"
1492,485,-670,"Flyweight"
1493,270,-330,"Lightweight"
1494,-175,155,"Featherweight"
1495,-325,250,"Welterweight"
1496,-185,160,"Featherweight"
1497,-380,315,"Women's Strawweight"
1498,115,-135,"Lightweight"
1499,-420,335,"Light Heavyweight"
1500,-270,230,"Heavyweight"
1501,-800,550,"Women's Strawweight"
1502,325,-400,"Heavyweight"
1503,-350,290,"Featherweight"
1504,105,-125,"Bantamweight"
1505,-450,317,"Women's Strawweight"
1506,-105,-115,"Welterweight"
1507,145,-185,"Light Heavyweight"
1508,-185,160,"Women's Bantamweight"
1509,-175,155,"Welterweight"
1510,335,-420,"Heavyweight"
1511,115,-135,"Featherweight"
1512,120,-140,"Middleweight"
1513,-145,125,"Bantamweight"
1514,110,-130,"Welterweight"
1515,165,-190,"Light Heavyweight"
1516,-110,-110,"Middleweight"
1517,-130,110,"Light Heavyweight"
1518,100,-120,"Flyweight"
1519,105,-125,"Lightweight"
1520,-350,290,"Featherweight"
1521,-140,120,"Lightweight"
1522,-135,115,"Welterweight"
1523,140,-160,"Flyweight"
1524,260,-320,"Lightweight"
1525,-160,140,"Bantamweight"
1526,-140,120,"Heavyweight"
1527,-170,150,"Lightweight"
1528,135,-175,"Women's Strawweight"
1529,-155,135,"Heavyweight"
1530,210,-250,"Light Heavyweight"
1531,100,-120,"Heavyweight"
1532,165,-190,"Women's Bantamweight"
1533,-245,205,"Bantamweight"
1534,-230,190,"Bantamweight"
1535,-145,125,"Welterweight"
1536,120,-140,"Flyweight"
1537,170,-200,"Welterweight"
1538,-120,100,"Middleweight"
1539,180,-220,"Welterweight"
1540,-155,135,"Welterweight"
1541,-140,120,"Welterweight"
1542,-110,-110,"Women's Strawweight"
1543,140,-160,"Welterweight"
1544,-340,280,"Bantamweight"
1545,125,-145,"Welterweight"
1546,-230,190,"Light Heavyweight"
1547,-115,-105,"Featherweight"
1548,300,-360,"Welterweight"
1549,-135,115,"Welterweight"
1550,-195,168,"Lightweight"
1551,255,-310,"Women's Bantamweight"
1552,-170,150,"Bantamweight"
1553,-125,105,"Flyweight"
1554,-160,140,"Welterweight"
1555,-300,250,"Featherweight"
1556,-300,250,"Welterweight"
1557,195,-235,"Featherweight"
1558,-125,105,"Middleweight"
1559,-170,150,"Welterweight"
1560,-115,-105,"Light Heavyweight"
1561,-185,160,"Lightweight"
1562,-120,100,"Women's Strawweight"
1563,-130,110,"Bantamweight"
1564,135,-155,"Lightweight"
1565,180,-220,"Lightweight"
1566,-130,110,"Flyweight"
1567,-250,210,"Heavyweight"
1568,-440,350,"Heavyweight"
1569,-400,325,"Light Heavyweight"
1570,-190,165,"Light Heavyweight"
1571,-230,190,"Women's Strawweight"
1572,-150,130,"Welterweight"
1573,170,-200,"Middleweight"
1574,-200,170,"Middleweight"
1575,165,-190,"Featherweight"
1576,220,-260,"Lightweight"
1577,130,-150,"Middleweight"
1578,-230,190,"Women's Strawweight"
1579,-900,600,"Flyweight"
1580,-200,163,"Flyweight"
1581,175,-210,"Welterweight"
1582,-230,190,"Light Heavyweight"
1583,-155,135,"Women's Bantamweight"
1584,-190,165,"Flyweight"
1585,145,-165,"Featherweight"
1586,-270,230,"Bantamweight"
1587,-150,130,"Lightweight"
1588,-120,100,"Women's Strawweight"
1589,-105,-115,"Middleweight"
1590,-105,-115,"Light Heavyweight"
1591,100,-120,"Middleweight"
1592,-550,425,"Lightweight"
1593,-110,-110,"Welterweight"
1594,135,-155,"Lightweight"
1595,-105,-115,"Light Heavyweight"
1596,-110,-110,"Women's Strawweight"
1597,165,-190,"Middleweight"
1598,130,-150,"Lightweight"
1599,-135,115,"Welterweight"
1600,-140,120,"Flyweight"
1601,-145,125,"Featherweight"
1602,-110,-110,"Featherweight"
1603,115,-135,"Flyweight"
1604,-340,280,"Light Heavyweight"
1605,-300,250,"Bantamweight"
1606,-460,365,"Women's Strawweight"
1607,-135,115,"Middleweight"
1608,175,-210,"Welterweight"
1609,-150,130,"Welterweight"
1610,110,-130,"Middleweight"
1611,-165,145,"Light Heavyweight"
1612,-140,120,"Bantamweight"
1613,-290,245,"Heavyweight"
1614,135,-155,"Bantamweight"
1615,-155,135,"Light Heavyweight"
1616,-560,430,"Middleweight"
1617,-105,-115,"Lightweight"
1618,-150,130,"Heavyweight"
1619,220,-260,"Featherweight"
1620,-250,210,"Middleweight"
1621,-200,170,"Flyweight"
1622,-145,125,"Lightweight"
1623,-140,120,"Women's Strawweight"
1624,-140,130,"Heavyweight"
1625,-170,150,"Welterweight"
1626,-225,185,"Women's Bantamweight"
1627,-220,180,"Bantamweight"
1628,270,-330,"Welterweight"
1629,140,-160,"Lightweight"
1630,160,-185,"Welterweight"
1631,-400,325,"Women's Strawweight"
1632,-220,180,"Middleweight"
1633,-140,120,"Women's Bantamweight"
1634,-325,265,"Featherweight"
1635,-345,285,"Lightweight"
1636,-145,125,"Middleweight"
1637,-125,105,"Welterweight"
1638,135,-155,"Catch Weight"
1639,145,-165,"Women's Bantamweight"
1640,-140,120,"Lightweight"
1641,250,-300,"Lightweight"
1642,-110,-110,"Featherweight"
1643,-105,-115,"Lightweight"
1644,-115,-105,"Lightweight"
1645,-620,460,"Women's Strawweight"
1646,-240,200,"Bantamweight"
1647,-135,115,"Catch Weight"
1648,125,-135,"Welterweight"
1649,-105,-115,"Bantamweight"
1650,-165,145,"Middleweight"
1651,-155,135,"Lightweight"
1652,-550,425,"Featherweight"
1653,-260,220,"Middleweight"
1654,300,-360,"Middleweight"
1655,-145,125,"Light Heavyweight"
1656,-190,165,"Heavyweight"
1657,-580,440,"Featherweight"
1658,130,-150,"Bantamweight"
1659,-190,165,"Bantamweight"
1660,150,-170,"Welterweight"
1661,245,-290,"Lightweight"
1662,110,-130,"Welterweight"
1663,175,-210,"Lightweight"
1664,105,-125,"Bantamweight"
1665,-320,260,"Lightweight"
1666,-260,220,"Welterweight"
1667,-525,450,"Flyweight"
1668,-135,115,"Light Heavyweight"
1669,-150,130,"Featherweight"
1670,-145,125,"Heavyweight"
1671,-125,105,"Welterweight"
1672,140,-160,"Middleweight"
1673,100,-120,"Light Heavyweight"
1674,195,-235,"Heavyweight"
1675,-115,-105,"Women's Bantamweight"
1676,-1000,650,"Catch Weight"
1677,-640,470,"Featherweight"
1678,-420,335,"Heavyweight"
1679,-155,135,"Lightweight"
1680,-800,550,"Middleweight"
1681,-110,-110,"Featherweight"
1682,-245,205,"Lightweight"
1683,-105,-115,"Bantamweight"
1684,-210,175,"Flyweight"
1685,130,-150,"Welterweight"
1686,145,-165,"Lightweight"
1687,-580,440,"Welterweight"
1688,-140,120,"Lightweight"
1689,-165,145,"Lightweight"
1690,160,-185,"Middleweight"
1691,-340,280,"Lightweight"
1692,100,-120,"Welterweight"
1693,115,-135,"Lightweight"
1694,-150,130,"Featherweight"
1695,100,-120,"Featherweight"
