"index","r_odds","b_odds","gender"
287,140,-160,"male"
288,-275,235,"male"
289,160,-185,"male"
290,-325,265,"male"
291,-165,145,"male"
292,-150,130,"female"
293,165,-190,"male"
294,170,-200,"male"
295,200,-240,"male"
296,-135,115,"female"
297,205,-245,"male"
298,-305,275,"male"
299,-125,105,"female"
300,110,-120,"male"
301,200,-220,"male"
302,655,-830,"female"
303,125,-135,"male"
304,290,-320,"male"
305,-115,105,"male"
306,130,-140,"male"
307,125,-135,"male"
308,-105,-105,"female"
309,-155,135,"male"
310,-200,170,"male"
311,-115,-105,"male"
312,-115,-105,"male"
313,150,-170,"male"
314,155,-175,"male"
315,-220,180,"male"
316,160,-185,"male"
317,140,-160,"male"
318,-135,115,"female"
319,-115,-105,"male"
320,-110,-110,"male"
321,-275,235,"male"
322,-270,230,"male"
323,-240,200,"male"
324,-235,195,"male"
325,-135,115,"male"
326,-145,125,"male"
327,-330,270,"male"
328,-245,205,"male"
329,-145,125,"male"
330,-265,225,"male"
331,110,-130,"male"
332,-105,-115,"female"
333,-150,130,"male"
334,-160,140,"male"
335,-225,185,"male"
336,-390,320,"male"
337,105,-125,"male"
338,135,-155,"male"
339,170,-200,"male"
340,-430,345,"male"
341,-155,135,"male"
342,-135,115,"male"
343,-235,195,"male"
344,-260,220,"female"
345,195,-235,"female"
346,129,-151,"male"
347,145,-175,"male"
348,-280,220,"male"
349,-118,-118,"male"
350,-138,105,"male"
351,-275,200,"male"
352,-641,484,"male"
353,-275,200,"male"
354,150,-200,"male"
355,-181,159,"male"
356,-151,129,"male"
357,-303,234,"female"
358,126,-154,"male"
359,-190,165,"male"
360,-200,170,"male"
361,-460,365,"female"
362,-165,145,"male"
363,-470,375,"male"
364,-300,250,"male"
365,-240,200,"female"
366,-115,-105,"male"
367,-355,295,"male"
368,-165,145,"male"
369,140,-160,"male"
370,185,-225,"female"
371,-125,105,"male"
372,130,-150,"male"
373,-150,130,"female"
374,130,-150,"male"
375,-210,175,"female"
376,200,-240,"male"
377,-145,125,"male"
378,225,-265,"male"
379,-320,260,"male"
380,110,-130,"male"
381,-400,325,"male"
382,215,-255,"female"
383,-500,400,"male"
384,145,-165,"male"
385,-1100,700,"female"
386,-210,175,"male"
387,300,-360,"male"
388,-160,140,"male"
389,-750,525,"female"
390,-160,140,"male"
391,105,-125,"female"
392,155,-175,"male"
393,-220,180,"female"
394,-170,150,"male"
395,-155,135,"male"
396,-105,-115,"female"
397,-320,260,"male"
398,215,-255,"male"
399,-130,110,"male"
400,-165,145,"male"
401,110,-130,"male"
402,135,-155,"male"
403,-400,325,"female"
404,135,-155,"male"
405,110,-130,"male"
406,-125,105,"female"
407,-110,-110,"male"
408,-105,-115,"male"
409,130,-150,"male"
410,-160,140,"male"
411,-220,180,"female"
412,-1100,700,"male"
413,-420,335,"male"
414,-550,425,"male"
415,-260,220,"female"
416,-900,600,"male"
417,-250,210,"male"
418,145,-165,"male"
419,-260,220,"male"
420,170,-200,"male"
421,-800,550,"male"
422,120,-140,"female"
423,-135,115,"male"
424,-145,125,"male"
425,-125,105,"male"
426,-400,325,"female"
427,105,-125,"male"
428,-125,105,"male"
429,-135,115,"male"
430,525,-750,"male"
431,-170,150,"female"
432,-1100,700,"male"
433,-280,240,"female"
434,-130,110,"male"
435,-110,-110,"male"
436,160,-185,"male"
437,140,-160,"male"
