,r_fighter,r_reach,r_height,b_fighter,b_reach,b_height,win_type,last_round,match_type,match_length,referee,date,winner,reach_win,height_win
0,adrian yanez,70,5'7,gustavo lopez,67,5'5,ko/tko,3,3 rnd (5-5-5),00:10:27,keith peterson,2021-03-20,adrian yanez,True,True
1,trevin giles,74,6'0,roman dolidze,76,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-20,trevin giles,False,False
2,tai tuivasa,75,6'2,harry hunsucker,75,6'2,ko/tko,1,3 rnd (5-5-5),00:00:49,keith peterson,2021-03-20,tai tuivasa,True,True
3,cheyanne buys,63,5'3,montserrat conejo,61,5'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-20,montserrat conejo,False,False
4,marion reneau,68,5'6,macy chiasson,72,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-20,macy chiasson,True,True
5,leonardo santos,75,6'0,grant dawson,72,5'10,ko/tko,3,3 rnd (5-5-5),00:14:59,keith peterson,2021-03-20,grant dawson,False,False
6,song kenan,71,6'0,max griffin,76,5'11,ko/tko,1,3 rnd (5-5-5),00:02:20,keith peterson,2021-03-20,max griffin,True,True
7,derek brunson,77,6'1,kevin holland,81,6'3,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2021-03-20,derek brunson,False,False
8,montel jackson,75,5'10,jesse strader,70,5'7,ko/tko,1,3 rnd (5-5-5),00:01:58,keith peterson,2021-03-20,montel jackson,True,True
9,manel kape,68,5'5,matheus nicolau,66,5'6,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,matheus nicolau,False,True
10,misha cirkunov,77,6'3,ryan spann,79,6'5,ko/tko,1,3 rnd (5-5-5),00:01:11,keith peterson,2021-03-13,ryan spann,True,True
11,leon edwards,74,6'2,belal muhammad,72,5'11,could not continue,2,5 rnd (5-5-5-5-5),00:05:18,keith peterson,2021-03-13,ryan spann,False,False
12,charles jourdain,69,5'9,marcelo rojo,71,5'8,ko/tko,3,3 rnd (5-5-5),00:14:31,keith peterson,2021-03-13,charles jourdain,False,True
13,eryk anders,75,6'1,darren stewart,74,6'0,could not continue,1,3 rnd (5-5-5),00:04:37,keith peterson,2021-03-13,charles jourdain,False,False
14,angela hill,64,5'3,ashley yoder,69,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,angela hill,False,False
15,jonathan martinez,70,5'8,davey grant,69,5'8,ko/tko,2,3 rnd (5-5-5),00:08:03,keith peterson,2021-03-13,davey grant,False,False
16,dan ige,71,5'7,gavin tucker,66,5'6,ko/tko,1,3 rnd (5-5-5),00:00:22,keith peterson,2021-03-13,dan ige,True,True
17,nasrat haqparast,72,5'10,rafa garcia,70,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,nasrat haqparast,True,True
18,cortney casey,67,5'7,jj aldrich,67,5'5,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,jj aldrich,False,False
19,matthew semelsberger,75,6'1,jason witt,70,5'10,ko/tko,1,3 rnd (5-5-5),00:00:16,keith peterson,2021-03-13,matthew semelsberger,True,True
20,rani yahya,67,5'6,ray rodriguez,70,5'7,submission,2,3 rnd (5-5-5),00:08:09,keith peterson,2021-03-13,rani yahya,False,False
21,gloria de paula,67,5'5,jinh yu frey,65,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,jinh yu frey,False,False
22,dominick cruz,68,5'8,casey kenney,68,5'7,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-06,dominick cruz,True,True
23,song yadong,67,5'8,kyler phillips,72,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-06,kyler phillips,True,False
24,petr yan,67,5'7,aljamain sterling,71,5'7,dq,4,5 rnd (5-5-5-5-5),00:19:29,keith peterson,2021-03-06,aljamain sterling,True,False
25,jan blachowicz,78,6'2,israel adesanya,80,6'4,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2021-03-06,jan blachowicz,False,False
26,thiago santos,76,6'2,aleksandar rakic,78,6'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-06,aleksandar rakic,True,True
27,joseph benavidez,65,5'4,askar askarov,67,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-06,askar askarov,True,True
28,amanda nunes,69,5'8,megan anderson,72,6'0,submission,1,5 rnd (5-5-5-5-5),00:02:03,keith peterson,2021-03-06,amanda nunes,False,False
29,islam makhachev,70,5'10,drew dober,70,5'8,submission,3,3 rnd (5-5-5),00:11:37,keith peterson,2021-03-06,islam makhachev,True,True
30,tim elliott,66,5'7,jordan espinosa,69,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-06,tim elliott,False,True
31,livinha souza,63,5'3,amanda lemos,65,5'4,ko/tko,1,3 rnd (5-5-5),00:03:39,keith peterson,2021-03-06,amanda lemos,True,True
32,rogerio bontorin,67,5'5,kai kara-france,69,5'4,ko/tko,1,3 rnd (5-5-5),00:04:55,keith peterson,2021-03-06,kai kara-france,True,False
33,uros medic,71,6'1,aalon cruz,78,6'0,ko/tko,1,3 rnd (5-5-5),00:01:40,keith peterson,2021-03-06,uros medic,False,True
34,kennedy nzechukwu,83,6'5,carlos ulberg,77,6'4,ko/tko,2,3 rnd (5-5-5),00:08:19,keith peterson,2021-03-06,kennedy nzechukwu,True,True
35,sean brady,72,5'10,jake matthews,73,5'11,submission,3,3 rnd (5-5-5),00:13:28,keith peterson,2021-03-06,sean brady,False,False
36,mario bautista,69,5'9,trevin jones,70,5'7,ko/tko,2,3 rnd (5-5-5),00:05:47,keith peterson,2021-03-06,trevin jones,True,False
37,jairzinho rozenstruik,78,6'4,ciryl gane,81,6'4,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2021-02-27,ciryl gane,True,False
38,montana de la rosa,68,5'7,mayra bueno silva,66,5'6,decision - majority,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-27,ciryl gane,False,False
39,vince cachero,68,5'6,ronnie lawrence,68,5'8,ko/tko,3,3 rnd (5-5-5),00:12:38,keith peterson,2021-02-27,ronnie lawrence,False,True
40,alexander hernandez,72,5'9,thiago moises,70,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-27,thiago moises,False,False
41,pedro munhoz,65,5'6,jimmie rivera,68,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-27,pedro munhoz,False,True
42,alex caceres,73,5'10,kevin croom,73,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-27,alex caceres,True,False
43,alexis davis,68,5'6,sabina mazo,70,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-27,alexis davis,False,False
44,nikita krylov,77,6'3,magomed ankalaev,75,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-27,magomed ankalaev,False,False
45,dustin jacoby,76,6'3,maxim grishin,78,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-27,dustin jacoby,False,True
46,aleksei oleinik,80,6'2,chris daukaus,76,6'3,ko/tko,1,3 rnd (5-5-5),00:01:55,keith peterson,2021-02-20,chris daukaus,False,True
47,charles rosa,69,5'9,darrick minner,69,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-20,darrick minner,False,False
48,phil hawes,77,6'0,nassourdine imavov,75,6'3,decision - majority,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-20,phil hawes,True,False
49,curtis blaydes,80,6'4,derrick lewis,79,6'3,ko/tko,2,5 rnd (5-5-5-5-5),00:06:26,keith peterson,2021-02-20,derrick lewis,False,False
50,eddie wineland,69,5'7,john castaneda,71,5'6,ko/tko,1,3 rnd (5-5-5),00:04:44,keith peterson,2021-02-20,john castaneda,True,False
51,andrei arlovski,77,6'3,tom aspinall,78,6'5,submission,2,3 rnd (5-5-5),00:06:09,keith peterson,2021-02-20,tom aspinall,True,True
52,jared gordon,68,5'9,danny chavez,67,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-20,jared gordon,True,True
53,ketlen vieira,68,5'8,yana kunitskaya,68,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-20,yana kunitskaya,False,False
54,aiemann zahabi,68,5'8,drako rodriguez,69,5'8,ko/tko,1,3 rnd (5-5-5),00:03:05,keith peterson,2021-02-20,aiemann zahabi,False,True
55,serghei spivac,78,6'3,jared vanderaa,80,6'4,ko/tko,2,3 rnd (5-5-5),00:09:32,keith peterson,2021-02-20,serghei spivac,False,False
56,nate landwehr,72,5'9,julian erosa,74,6'1,ko/tko,1,3 rnd (5-5-5),00:00:56,keith peterson,2021-02-20,julian erosa,True,True
57,shana dobson,69,5'6,casey o'neill,69,5'6,ko/tko,2,3 rnd (5-5-5),00:08:41,keith peterson,2021-02-20,casey o'neill,False,False
58,maycee barber,65,5'5,alexa grasso,66,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-13,alexa grasso,True,False
59,belal muhammad,72,5'11,dhiego lima,75,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-13,belal muhammad,False,False
60,maki pitolo,75,5'10,julian marquez,72,6'2,submission,3,3 rnd (5-5-5),00:14:17,keith peterson,2021-02-13,julian marquez,False,True
61,kamaru usman,76,6'0,gilbert burns,71,5'10,ko/tko,3,5 rnd (5-5-5-5-5),00:10:34,keith peterson,2021-02-13,kamaru usman,True,True
62,ricky simon,69,5'6,brian kelleher,66,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-13,ricky simon,True,True
63,kelvin gastelum,71,5'9,ian heinisch,72,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-13,kelvin gastelum,False,False
64,polyana viana,67,5'5,mallory martin,63,5'4,submission,1,3 rnd (5-5-5),00:03:18,keith peterson,2021-02-13,polyana viana,True,True
65,rodolfo vieira,73,6'0,anthony hernandez,75,6'0,submission,2,3 rnd (5-5-5),00:06:53,keith peterson,2021-02-13,anthony hernandez,True,False
66,gabe green,73,5'10,philip rowe,80,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-13,gabe green,False,False
67,andre ewell,75,5'8,chris gutierrez,67,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-13,chris gutierrez,False,True
68,alexandre pantoja,67,5'5,manel kape,68,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-06,alexandre pantoja,False,True
69,karol rosa,67,5'5,joselyne edwards,70,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-06,karol rosa,False,False
70,devonte smith,76,5'9,justin jaynes,68,5'7,tko - doctor's stoppage,2,3 rnd (5-5-5),00:08:38,keith peterson,2021-02-06,devonte smith,True,True
71,michael johnson,73,5'10,clay guida,70,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-06,clay guida,False,False
72,alistair overeem,80,6'4,alexander volkov,80,6'7,ko/tko,2,5 rnd (5-5-5-5-5),00:07:06,keith peterson,2021-02-06,alexander volkov,False,True
73,diego ferreira,74,5'9,beneil dariush,72,5'10,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-06,beneil dariush,False,True
74,cory sandhagen,70,5'11,frankie edgar,68,5'6,ko/tko,1,3 rnd (5-5-5),00:00:28,keith peterson,2021-02-06,cory sandhagen,True,True
75,mike rodriguez,82,6'4,danilo marques,77,6'6,submission,2,3 rnd (5-5-5),00:09:52,keith peterson,2021-02-06,danilo marques,False,True
76,ode osbourne,73,5'7,jerome rivera,72,5'10,ko/tko,1,3 rnd (5-5-5),00:00:26,keith peterson,2021-02-06,ode osbourne,True,False
77,seungwoo choi,74,6'0,youssef zalal,72,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-06,seungwoo choi,True,True
78,molly mccann,62,5'4,lara procopio,67,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-06,lara procopio,True,False
79,timur valiev,67,5'6,martin day,73,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-02-06,timur valiev,False,False
80,dan hooker,75,6'0,michael chandler,71,5'8,ko/tko,1,3 rnd (5-5-5),00:02:30,keith peterson,2021-01-23,michael chandler,False,False
81,andrew sanchez,74,6'1,makhmud muradov,75,6'2,ko/tko,3,3 rnd (5-5-5),00:12:59,keith peterson,2021-01-23,makhmud muradov,True,True
82,julianna pena,69,5'6,sara mcmann,66,5'6,submission,3,3 rnd (5-5-5),00:13:39,keith peterson,2021-01-23,julianna pena,True,True
83,jessica eye,66,5'6,joanne calderwood,65,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-23,joanne calderwood,False,False
84,dustin poirier,72,5'9,conor mcgregor,74,5'9,ko/tko,2,5 rnd (5-5-5-5-5),00:07:32,keith peterson,2021-01-23,dustin poirier,False,True
85,brad tavares,74,6'1,antonio carlos junior,79,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-23,brad tavares,False,False
86,arman tsarukyan,72,5'7,matt frevola,71,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-23,arman tsarukyan,True,False
87,marina rodriguez,65,5'6,amanda ribas,66,5'3,ko/tko,2,3 rnd (5-5-5),00:05:54,keith peterson,2021-01-23,marina rodriguez,False,True
88,amir albazi,68,5'5,zhalgas zhumagulov,66,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-23,amir albazi,True,True
89,khalil rountree jr.,76,6'1,marcin prachnio,74,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-23,marcin prachnio,False,True
90,nik lentz,68,5'8,movsar evloev,72,5'7,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-23,movsar evloev,True,False
91,omari akhmedov,73,6'0,tom breese,73,6'3,submission,2,3 rnd (5-5-5),00:06:41,keith peterson,2021-01-20,omari akhmedov,True,False
92,warlley alves,72,5'11,mounir lazzez,76,6'1,ko/tko,1,3 rnd (5-5-5),00:02:35,keith peterson,2021-01-20,warlley alves,False,True
93,matt schnell,70,5'8,tyson nam,68,5'7,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-20,matt schnell,True,True
94,roxanne modafferi,69,5'7,viviane araujo,68,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-20,viviane araujo,False,False
95,ike villanueva,73,6'1,vinicius moreira,76,6'4,ko/tko,2,3 rnd (5-5-5),00:05:39,keith peterson,2021-01-20,ike villanueva,False,False
96,michael chiesa,75,6'1,neil magny,80,6'3,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2021-01-20,michael chiesa,False,False
97,lerone murphy,73,5'9,douglas silva de andrade,68,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-20,lerone murphy,True,True
98,su mudaerji,72,5'8,zarrukh adashev,65,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-20,su mudaerji,True,True
99,francisco figueiredo,69,5'6,jerome rivera,72,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-20,francisco figueiredo,False,False
100,dalcha lungiambula,76,5'8,markus perez,73,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-20,dalcha lungiambula,True,False
101,wu yanan,66,5'8,joselyne edwards,70,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-16,joselyne edwards,True,False
102,punahele soriano,72,5'11,dusko todorovic,74,6'1,ko/tko,1,3 rnd (5-5-5),00:04:48,keith peterson,2021-01-16,punahele soriano,False,True
103,carlos felipe,75,6'0,justin tafa,74,6'0,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-16,carlos felipe,True,True
104,carlos condit,75,6'2,matt brown,75,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-16,carlos condit,True,True
105,david zawada,75,6'0,ramazan emeev,76,5'10,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-16,ramazan emeev,True,False
106,joaquin buckley,76,5'10,alessio di chirico,74,6'0,ko/tko,1,3 rnd (5-5-5),00:02:12,keith peterson,2021-01-16,alessio di chirico,False,False
107,santiago ponzinibbio,73,6'0,li jingliang,71,6'0,ko/tko,1,3 rnd (5-5-5),00:04:25,keith peterson,2021-01-16,li jingliang,False,False
108,max holloway,69,5'11,calvin kattar,72,5'11,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2021-01-16,max holloway,False,True
109,sarah moras,67,5'7,vanessa melo,65,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-16,vanessa melo,False,False
110,jacob kilburn,72,5'9,austin lingo,70,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-01-16,austin lingo,False,True
111,marlon moraes,67,5'6,rob font,71,5'8,ko/tko,1,3 rnd (5-5-5),00:03:47,keith peterson,2020-12-19,rob font,True,True
112,sijara eubanks,67,5'4,pannie kianzad,66,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-19,pannie kianzad,False,True
113,deron winn,70,5'6,antonio arroyo,73,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-19,deron winn,False,False
114,stephen thompson,75,6'0,geoff neal,75,5'11,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2020-12-19,stephen thompson,True,False
115,jose aldo,70,5'7,marlon vera,70,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-19,jose aldo,True,False
116,anthony pettis,72,5'10,alex morono,72,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-19,anthony pettis,True,False
117,marcin tybura,78,6'3,greg hardy,80,6'5,ko/tko,2,3 rnd (5-5-5),00:09:31,keith peterson,2020-12-19,marcin tybura,False,False
118,michel pereira,73,6'1,khaos williams,77,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-19,michel pereira,False,True
119,gillian robertson,63,5'5,taila santos,68,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-19,taila santos,True,True
120,jimmy flick,68,5'7,cody durden,67,5'7,submission,1,3 rnd (5-5-5),00:03:18,keith peterson,2020-12-19,jimmy flick,True,True
121,tafon nchukwi,77,6'0,jamie pickett,80,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-19,tafon nchukwi,False,False
122,christos giagos,71,5'10,carlton minus,75,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-19,christos giagos,False,True
123,renato moicano,72,5'11,rafael fiziev,71,5'8,ko/tko,1,3 rnd (5-5-5),00:04:05,keith peterson,2020-12-12,rafael fiziev,False,False
124,kevin holland,81,6'3,jacare souza,72,6'1,ko/tko,1,3 rnd (5-5-5),00:01:45,keith peterson,2020-12-12,kevin holland,True,True
125,mackenzie dern,63,5'4,virna jandiroba,64,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-12,mackenzie dern,False,True
126,tony ferguson,76,5'11,charles oliveira,74,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-12,charles oliveira,False,False
127,deiveson figueiredo,68,5'5,brandon moreno,70,5'7,decision - majority,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2020-12-12,charles oliveira,False,False
128,junior dos santos,77,6'4,ciryl gane,81,6'4,ko/tko,2,3 rnd (5-5-5),00:07:34,keith peterson,2020-12-12,ciryl gane,True,False
129,gavin tucker,66,5'6,billy quarantillo,70,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-12,gavin tucker,False,False
130,cub swanson,70,5'8,daniel pineda,69,5'7,ko/tko,2,3 rnd (5-5-5),00:06:52,keith peterson,2020-12-12,cub swanson,True,True
131,tecia torres,60,5'1,sam hughes,64,5'5,tko - doctor's stoppage,1,3 rnd (5-5-5),00:05:00,keith peterson,2020-12-12,tecia torres,False,False
132,chase hooper,74,6'1,peter barrett,73,5'10,submission,3,3 rnd (5-5-5),00:13:02,keith peterson,2020-12-12,chase hooper,True,True
133,gabriel benitez,71,5'8,justin jaynes,68,5'7,ko/tko,1,3 rnd (5-5-5),00:04:06,keith peterson,2020-12-05,gabriel benitez,True,True
134,roman dolidze,76,6'2,john allan,75,6'1,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-05,roman dolidze,True,True
135,ilia topuria,69,5'7,damon jackson,71,5'11,ko/tko,1,3 rnd (5-5-5),00:02:38,keith peterson,2020-12-05,ilia topuria,False,False
136,louis smolka,68,5'9,jose quinonez,69,5'8,ko/tko,2,3 rnd (5-5-5),00:07:15,keith peterson,2020-12-05,louis smolka,False,True
137,gian villante,76,6'3,jake collier,78,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-12-05,jake collier,True,False
138,ovince saint preux,80,6'3,jamahal hill,79,6'4,ko/tko,2,3 rnd (5-5-5),00:08:37,keith peterson,2020-12-05,jamahal hill,False,True
139,matt wiman,68,5'10,jordan leavitt,71,5'9,ko/tko,1,3 rnd (5-5-5),00:00:22,keith peterson,2020-12-05,jordan leavitt,True,False
140,jack hermansson,77,6'1,marvin vettori,74,6'0,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2020-12-05,marvin vettori,False,False
141,ashlee evans-smith,67,5'8,norma dumont,67,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-28,norma dumont,False,False
142,jonathan pearce,71,6'0,kai kamaka,69,5'7,ko/tko,2,3 rnd (5-5-5),00:09:28,keith peterson,2020-11-28,jonathan pearce,True,True
143,miguel baeza,74,6'2,takashi sato,73,5'10,submission,2,3 rnd (5-5-5),00:09:28,keith peterson,2020-11-28,miguel baeza,True,True
144,josh parisian,79,6'4,parker porter,75,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-28,parker porter,False,False
145,anthony smith,76,6'4,devin clark,75,6'0,submission,1,5 rnd (5-5-5-5-5),00:02:34,keith peterson,2020-11-28,anthony smith,True,True
146,spike carlyle,71,5'8,bill algeo,73,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-28,bill algeo,True,True
147,martin day,73,5'10,anderson dos santos,70,5'5,submission,1,3 rnd (5-5-5),00:04:35,keith peterson,2020-11-28,anderson dos santos,False,False
148,luke sanders,67,5'6,nate maness,72,5'10,submission,2,3 rnd (5-5-5),00:07:29,keith peterson,2020-11-28,nate maness,True,True
149,gina mazany,68,5'6,rachael ostovich,62,5'3,ko/tko,3,3 rnd (5-5-5),00:14:10,keith peterson,2020-11-28,gina mazany,True,True
150,su mudaerji,72,5'8,malcolm gordon,71,5'7,ko/tko,1,3 rnd (5-5-5),00:00:44,keith peterson,2020-11-28,su mudaerji,True,True
151,brandon moreno,70,5'7,brandon royval,68,5'9,ko/tko,1,3 rnd (5-5-5),00:04:59,keith peterson,2020-11-21,brandon moreno,True,False
152,joaquin buckley,76,5'10,jordan wright,77,6'2,ko/tko,2,3 rnd (5-5-5),00:05:18,keith peterson,2020-11-21,joaquin buckley,False,False
153,katlyn chookagian,68,5'9,cynthia calvillo,64,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-21,katlyn chookagian,True,True
154,antonina shevchenko,67,5'8,ariane lipski,67,5'6,ko/tko,2,3 rnd (5-5-5),00:09:33,keith peterson,2020-11-21,antonina shevchenko,True,True
155,valentina shevchenko,66,5'5,jennifer maia,64,5'4,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2020-11-21,valentina shevchenko,True,True
156,deiveson figueiredo,68,5'5,alex perez,65,5'6,submission,1,5 rnd (5-5-5-5-5),00:01:57,keith peterson,2020-11-21,deiveson figueiredo,True,False
157,mauricio rua,76,6'1,paul craig,76,6'3,ko/tko,2,3 rnd (5-5-5),00:08:36,keith peterson,2020-11-21,paul craig,False,True
158,mike perry,71,5'10,tim means,75,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-21,tim means,True,True
159,alan jouban,73,6'0,jared gooden,77,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-21,alan jouban,False,True
160,daniel rodriguez,74,6'1,nicolas dalby,74,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-21,nicolas dalby,False,False
161,louis cosce,71,5'9,sasha palatnikov,72,6'1,ko/tko,3,3 rnd (5-5-5),00:12:47,keith peterson,2020-11-21,sasha palatnikov,True,True
162,kyle daukaus,76,6'3,dustin stoltzfus,75,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-21,kyle daukaus,True,True
163,ashley yoder,69,5'7,miranda granger,68,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-14,ashley yoder,True,True
164,kay hansen,63,5'2,cory mckenna,58,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-14,cory mckenna,False,True
165,randa markos,63,5'4,kanako murata,62,5'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-14,kanako murata,False,False
166,brendan allen,75,6'2,sean strickland,76,6'1,ko/tko,2,3 rnd (5-5-5),00:06:32,keith peterson,2020-11-14,sean strickland,True,False
167,geraldo de freitas,72,5'7,tony gravely,69,5'5,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-14,tony gravely,False,False
168,alex morono,72,5'11,rhys mckee,78,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-14,alex morono,False,False
169,abdul razak alhassan,73,5'10,khaos williams,77,6'0,ko/tko,1,3 rnd (5-5-5),00:00:30,keith peterson,2020-11-14,khaos williams,True,False
170,paul felder,70,5'11,rafael dos anjos,70,5'8,decision - split,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2020-11-14,rafael dos anjos,False,False
171,don'tale mayes,81,6'6,roque martinez,72,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-14,don'tale mayes,True,True
172,thiago santos,76,6'2,glover teixeira,76,6'2,submission,3,5 rnd (5-5-5-5-5),00:11:49,keith peterson,2020-11-07,glover teixeira,False,False
173,andrei arlovski,77,6'3,tanner boser,75,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-07,andrei arlovski,True,True
174,alexandr romanov,75,6'2,marcos rogerio de lima,75,6'1,submission,1,3 rnd (5-5-5),00:04:48,keith peterson,2020-11-07,alexandr romanov,True,True
175,claudia gadelha,63,5'4,yan xiaonan,63,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-11-07,yan xiaonan,False,True
